WeekEndingDate,flu symptoms,sore throat,fever,NHS 24,FluSearchIndex
2015-01-01,16,23,23,55,29.25
2015-02-01,17,25,31,48,30.25
2015-03-01,15,25,39,47,31.5
2015-04-01,9,21,32,47,27.25
2015-05-01,8,19,27,38,23.0
2015-06-01,5,22,31,43,25.25
2015-07-01,4,16,28,46,23.5
2015-08-01,5,18,21,49,23.25
2015-09-01,8,23,21,50,25.5
2015-10-01,10,19,20,52,25.25
2015-11-01,10,19,22,54,26.25
2015-12-01,13,25,26,59,30.75
2016-01-01,18,27,26,64,33.75
2016-02-01,20,31,33,60,36.0
2016-03-01,19,30,42,61,38.0
2016-04-01,10,23,32,58,30.75
2016-05-01,8,24,31,53,29.0
2016-06-01,6,21,28,50,26.25
2016-07-01,5,20,24,55,26.0
2016-08-01,6,19,19,48,23.0
2016-09-01,10,24,21,56,27.75
2016-10-01,11,23,21,56,27.75
2016-11-01,11,22,24,56,28.25
2016-12-01,16,29,25,67,34.25
2017-01-01,17,28,25,58,32.0
2017-02-01,13,26,29,57,31.25
2017-03-01,9,29,35,57,32.5
2017-04-01,9,25,29,63,31.5
2017-05-01,6,24,29,60,29.75
2017-06-01,6,23,32,55,29.0
2017-07-01,5,22,25,56,27.0
2017-08-01,5,20,21,48,23.5
2017-09-01,8,28,22,53,27.75
2017-10-01,11,25,24,52,28.0
2017-11-01,12,27,29,56,31.0
2017-12-01,31,37,37,74,44.75
2018-01-01,100,36,32,65,58.25
2018-02-01,25,32,36,54,36.75
2018-03-01,15,29,43,54,35.25
2018-04-01,8,26,35,49,29.5
2018-05-01,6,27,37,51,30.25
2018-06-01,5,23,46,49,30.75
2018-07-01,3,19,29,49,25.0
2018-08-01,5,18,22,41,21.5
2018-09-01,10,27,22,46,26.25
2018-10-01,11,22,24,46,25.75
2018-11-01,13,26,26,45,27.5
2018-12-01,19,32,30,59,35.0
2019-01-01,22,33,32,54,35.25
2019-02-01,20,32,32,49,33.25
2019-03-01,10,28,28,54,30.0
2019-04-01,9,27,31,47,28.5
2019-05-01,6,26,28,46,26.5
2019-06-01,6,26,37,48,29.25
2019-07-01,5,20,29,47,25.25
2019-08-01,5,22,22,44,23.25
2019-09-01,10,29,22,49,27.5
2019-10-01,14,26,22,44,26.5
2019-11-01,17,28,27,48,30.0
2019-12-01,27,38,36,55,39.0
2020-01-01,18,32,28,45,30.75
2020-02-01,18,32,32,43,31.25
2020-03-01,38,100,75,100,78.25
2020-04-01,9,50,41,43,35.75
2020-05-01,4,30,32,33,24.75
2020-06-01,4,25,38,32,24.75
2020-07-01,4,28,24,31,21.75
2020-08-01,7,54,23,41,31.25
2020-09-01,9,49,22,38,29.5
2020-10-01,14,37,21,34,26.5
2020-11-01,11,35,20,31,24.25
2020-12-01,12,38,22,33,26.25
2021-01-01,8,29,20,36,23.25
2021-02-01,6,23,20,29,19.5
2021-03-01,5,26,21,33,21.25
2021-04-01,5,25,24,35,22.25
2021-05-01,6,33,25,36,25.0
2021-06-01,6,37,38,40,30.25
2021-07-01,5,34,34,39,28.0
2021-08-01,6,37,25,36,26.0
2021-09-01,13,63,27,40,35.75
2021-10-01,15,52,26,33,31.5
2021-11-01,16,49,25,29,29.75
2021-12-01,16,60,29,34,34.75
2022-01-01,9,38,26,30,25.75
2022-02-01,9,36,34,26,26.25
2022-03-01,9,44,31,29,28.25
2022-04-01,8,33,30,33,26.0
2022-05-01,8,34,37,32,27.75
2022-06-01,9,45,42,31,31.75
2022-07-01,7,37,40,31,28.75
2022-08-01,7,27,26,28,22.0
2022-09-01,9,34,26,29,24.5
2022-10-01,15,38,31,29,28.25
2022-11-01,20,37,42,32,32.75
2022-12-01,42,62,100,43,61.75
2023-01-01,22,45,41,34,35.5
2023-02-01,13,39,34,27,28.25
2023-03-01,13,38,37,29,29.25
2023-04-01,10,36,33,30,27.25
2023-05-01,7,35,33,28,25.75
2023-06-01,6,29,40,28,25.75
2023-07-01,8,25,26,29,22.0
2023-08-01,8,24,24,26,20.5
2023-09-01,10,26,25,28,22.25
2023-10-01,12,26,25,29,23.0
2023-11-01,14,30,29,29,25.5
2023-12-01,21,37,36,33,31.75
2024-01-01,19,35,35,29,29.5
2024-02-01,14,36,38,28,29.0
2024-03-01,11,37,42,30,30.0
2024-04-01,10,36,39,29,28.5
2024-05-01,8,32,37,27,26.0
2024-06-01,9,34,44,27,28.5
2024-07-01,8,27,29,26,22.5
2024-08-01,6,21,28,24,19.75
2024-09-01,10,29,27,25,22.75
2024-10-01,12,29,26,24,22.75
2024-11-01,16,31,28,22,24.25
2024-12-01,35,42,40,28,36.25
2025-01-01,26,32,30,23,27.75
2025-02-01,17,32,31,21,25.25
2025-03-01,13,31,30,23,24.25
2025-04-01,9,28,31,22,22.5
2025-05-01,7,28,31,22,22.0
2025-06-01,7,28,35,22,23.0
2025-07-01,7,21,30,20,19.5
2025-08-01,6,23,24,21,18.5
2025-09-01,11,27,26,21,21.25
2025-10-01,14,28,26,21,22.25
2025-11-01,24,29,33,23,27.25
2025-12-01,67,41,36,25,42.25
2026-01-01,23,34,30,20,26.75
2026-02-01,23,36,34,19,28.0
2026-03-01,10,37,35,20,25.5
2026-04-01,6,31,33,21,22.75
2026-05-01,6,31,30,19,21.5
